timestamp,open,high,low,close,volume
2019-08-22,174.1000,174.9796,170.5000,172.4500,9913171
2019-08-21,177.2200,178.5000,174.8900,175.2400,9922931
2019-08-20,175.9100,177.9900,175.6200,177.2100,10338100
2019-08-19,177.4300,178.8000,175.5900,178.2800,16000400
2019-08-16,170.0000,177.5500,164.3600,174.6000,25365500
2019-08-15,170.1100,171.0000,164.3600,166.9700,34899100
2019-08-14,161.3400,163.0000,159.2100,162.0600,20803700
2019-08-13,160.6400,167.3600,159.5700,164.0300,22842900
2019-08-12,157.5000,159.3831,155.5400,159.3100,14424400
2019-08-09,160.9811,161.9900,159.1100,159.1200,11894300
2019-08-08,161.7100,162.3000,159.1200,162.2200,19267700
2019-08-07,155.7300,159.4800,155.3000,159.1700,17917400
2019-08-06,158.4800,158.7300,156.1100,157.4300,24996300
2019-08-05,155.0300,157.2300,151.8500,153.6700,28912600
2019-08-02,162.5600,163.8500,160.3500,161.0000,27104700
2019-08-01,174.5400,175.7150,162.1000,165.6500,32728200
2019-07-31,173.7100,174.8900,170.0866,173.1100,14628900
2019-07-30,174.2500,175.7100,172.8900,174.1000,14300600
2019-07-29,178.4300,179.8800,175.3500,177.0200,15130300
2019-07-26,178.2500,179.4000,176.8800,178.7400,15281000
2019-07-25,178.4900,179.1500,175.3690,177.2900,14049000
2019-07-24,178.0000,178.9600,176.9380,178.6700,14933100
2019-07-23,175.3900,178.6400,174.8450,178.0900,20881500
2019-07-22,173.5000,174.2800,171.4370,174.0000,18490900
2019-07-19,174.8700,175.1500,172.9900,172.9900,13647200
2019-07-18,173.4100,174.4000,172.0574,172.8000,15613200
2019-07-17,172.7500,176.2200,172.4959,174.8200,15031600
2019-07-16,174.2000,175.5200,173.4600,174.1900,19039700
2019-07-15,171.5000,173.7436,170.4200,173.5000,22199000
2019-07-12,168.0000,170.2000,167.6500,169.0700,18103600
2019-07-11,167.5611,168.4240,165.0000,166.5500,14796400
2019-07-10,171.2400,171.3700,166.8600,166.9300,16675600
2019-07-09,167.0850,168.9800,166.5000,168.8000,15782800
2019-07-08,170.0900,170.2800,168.3500,168.4500,16531000
2019-07-05,173.7500,173.8200,172.8214,173.3000,12618600
2019-07-03,175.6900,175.8500,173.8500,174.6700,8532600
2019-07-02,175.1300,175.5500,174.2500,175.4500,14155200
2019-07-01,175.8650,177.9468,174.3600,175.0500,25911000
2019-06-28,170.2000,170.8900,167.9600,169.4500,19974300
2019-06-27,170.6200,171.9800,169.3800,170.9000,18349400
2019-06-26,168.2800,171.2400,168.1500,168.9900,22416400
2019-06-25,167.0425,167.3400,164.6200,165.8000,20439200
2019-06-24,168.4000,168.8800,165.7800,168.1000,18422600
2019-06-21,167.4800,169.4710,166.7700,167.5500,17415800
2019-06-20,170.1900,170.4800,166.2750,168.2500,24004700
2019-06-19,167.7700,167.9000,163.4200,165.4600,20798100
2019-06-18,162.8900,169.1100,161.9500,165.5100,35754800
2019-06-17,157.5300,160.5500,157.4113,159.9100,16079800
2019-06-14,158.3705,158.7100,157.2300,158.1000,14981600
2019-06-13,160.5500,161.3200,159.8000,160.3300,17571400
2019-06-12,160.4700,161.7000,158.8100,160.0400,16329300
2019-06-11,164.2000,165.6800,161.9240,162.6500,23408400
2019-06-10,158.7800,161.9800,157.4000,159.8500,36473300
2019-06-07,152.9500,155.6900,152.2140,154.2300,17817800
2019-06-06,152.0000,152.7000,150.5700,151.5000,15763000
2019-06-05,155.1700,156.1100,149.3100,151.6500,23208600
2019-06-04,151.5600,155.2000,150.6400,154.1500,27417200
2019-06-03,149.6000,151.7700,148.8450,149.9100,25254400
2019-05-31,149.6300,150.6800,147.9500,149.2600,26881200
2019-05-30,152.3600,153.3700,150.2500,151.0700,17344700
2019-05-29,153.5800,154.3850,150.7100,152.4800,30073100
2019-05-28,156.4000,157.0700,153.2200,154.8100,38603000
2019-05-24,157.6150,158.4300,154.9000,155.0000,21489700
2019-05-23,155.4500,158.4800,154.4100,156.0000,26891900
2019-05-22,162.4100,162.8200,158.0700,158.8300,25831200
2019-05-21,163.1600,165.5900,162.5200,163.4300,22006100
2019-05-20,164.4400,164.5700,160.0200,160.6500,33413800
